 ---New_Simulation---
        Label               Simulation step                 <E_i>                   E_i
   2.0000000000000000        20000.000000000000       -4.5177429422689990       -5.0969755298533626     
   1.0000000000000000        40000.000000000000       -4.6060989536285621       -4.1091852256409966     
   2.0000000000000000        60000.000000000000       -5.0793194039159388       -6.2435683169639997     
   2.0000000000000000        80000.000000000000       -5.2380784692990288       -5.3997368144677722     
   2.0000000000000000        100000.00000000000       -5.3426197449390429       -6.3646927786426977     
   2.0000000000000000        120000.00000000000       -5.4226161519748430       -5.1482687421388880     
   1.0000000000000000        140000.00000000000       -5.2882788251469464       -5.9994713659075023     
   1.0000000000000000        160000.00000000000       -5.3443475978334192       -5.8067662438856029     
   1.0000000000000000        180000.00000000000       -5.3890417226220739       -6.8222793245660975     
   1.0000000000000000        200000.00000000000       -5.4250627504267079       -5.6014701760171590     
   1.0000000000000000        220000.00000000000       -5.4571237147727620       -7.0004133682752787     
   1.0000000000000000        240000.00000000000       -5.4844045289358689       -4.3344078729011191     
   2.0000000000000000        260000.00000000000       -5.6960437172351135       -6.1829842159715351     
   2.0000000000000000        280000.00000000000       -5.7152487217117685       -6.7743462774727181     
   1.0000000000000000        300000.00000000000       -5.5397758078704582       -3.5446440872148592     
   2.0000000000000000        320000.00000000000       -5.7479098179673338       -6.4890853485542390     
   2.0000000000000000        340000.00000000000       -5.7626693120620729       -5.8698381819060188     
   2.0000000000000000        360000.00000000000       -5.7738408835984654       -7.3134019778009254     
   2.0000000000000000        380000.00000000000       -5.7843275694540184       -6.6426471620895535     
   2.0000000000000000        400000.00000000000       -5.7939849343878507       -6.0324935485854594     
   2.0000000000000000        420000.00000000000       -5.8010008926340024       -5.8914697545478170     
   1.0000000000000000        440000.00000000000       -5.6117289296535997       -6.7059188345973082     
   1.0000000000000000        460000.00000000000       -5.6179049928093212       -6.5507997457101528     
   1.0000000000000000        480000.00000000000       -5.6231342315260031       -6.3347676032435780     
   2.0000000000000000        500000.00000000000       -5.8263653032483083       -5.9441967043893742     
   1.0000000000000000        520000.00000000000       -5.6339550717090727       -4.9695426896930552     
   2.0000000000000000        540000.00000000000       -5.8399930956872188       -6.2221240620206473     
   2.0000000000000000        560000.00000000000       -5.8461684981022266       -5.1429984702460638     
   2.0000000000000000        580000.00000000000       -5.8516606213057525       -5.4165253570364396     
   2.0000000000000000        600000.00000000000       -5.8574531933374949       -5.9519178396627348     
   1.0000000000000000        620000.00000000000       -5.6504967257674057       -5.1392604329853402     
   2.0000000000000000        640000.00000000000       -5.8668616625813881       -6.6605430724005981     
   1.0000000000000000        660000.00000000000       -5.6563240778464658       -6.1781977802860553     
   1.0000000000000000        680000.00000000000       -5.6589779521169321       -6.0022176054112908     
   2.0000000000000000        700000.00000000000       -5.8809563442315245       -6.8084717109315482     
   1.0000000000000000        720000.00000000000       -5.6627286722625350       -4.9187320857003458     
   2.0000000000000000        740000.00000000000       -5.8910548775219560       -6.3825039955354272     
   2.0000000000000000        760000.00000000000       -5.8958765533998196       -6.3205413460690512     
   2.0000000000000000        780000.00000000000       -5.9002037238961131       -6.1200152226755637     
   2.0000000000000000        800000.00000000000       -5.9032729441262637       -6.4335343299378165     
   1.0000000000000000        820000.00000000000       -5.6723028260765957       -5.5755655347436273     
   1.0000000000000000        840000.00000000000       -5.6736162067840104       -5.0693262968798081     
   1.0000000000000000        860000.00000000000       -5.6745326668819844       -4.7323849706973569     
   1.0000000000000000        880000.00000000000       -5.6753809882997102       -5.9671801260105681     
   2.0000000000000000        900000.00000000000       -5.9194817270470548       -6.4308732282571750     
   2.0000000000000000        920000.00000000000       -5.9224213571847280       -4.9679776463370215     
   1.0000000000000000        940000.00000000000       -5.6775418442670391       -5.2813259991273300     
   2.0000000000000000        960000.00000000000       -5.9260794313455465       -5.9726526044266590     
   1.0000000000000000        980000.00000000000       -5.6778095856024446       -5.9133493877798680     
   1.0000000000000000        1000000.0000000000       -5.6777600432305064       -5.8434905611929207     
   1.0000000000000000        1020000.0000000000       -5.6775804682828621       -5.0422583378481791     
   1.0000000000000000        1040000.0000000000       -5.6777695449182852       -5.2410317680426095     
   1.0000000000000000        1060000.0000000000       -5.6782462297462306       -6.5313104098779817     
   2.0000000000000000        1080000.0000000000       -5.9388480426965762       -5.5066647378185651     
   2.0000000000000000        1100000.0000000000       -5.9414998395015060       -6.1886234104247801     
   1.0000000000000000        1120000.0000000000       -5.6787491803673218       -5.9781521953046832     
   1.0000000000000000        1140000.0000000000       -5.6796950256572494       -5.7357023205857098     
   2.0000000000000000        1160000.0000000000       -5.9467067642909077       -6.1648777897636196     
   1.0000000000000000        1180000.0000000000       -5.6808110786953065       -5.1330048889630868     
