[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0]
[3.125, 0.00037455500411620276]
[3.1750000000000003, 0.003990346131027882]
[3.225, 0.01804423609348103]
[3.2750000000000004, 0.07678876991054309]
[3.325, 0.2261928154074072]
[3.375, 0.5056957029361623]
[3.4250000000000003, 0.89374472548077]
[3.475, 1.3880767717761342]
[3.5250000000000004, 1.8884748375576295]
[3.575, 2.33966973387177]
[3.625, 2.6313744299375084]
[3.6750000000000003, 2.795282699009498]
[3.725, 2.8766866722673714]
[3.7750000000000004, 2.802704780879368]
[3.825, 2.690880706320293]
[3.875, 2.5441379641258766]
[3.9250000000000003, 2.3239993737000044]
[3.975, 2.1688736446052093]
[4.025, 1.9659874811960225]
[4.075, 1.7898799829876013]
[4.125, 1.6606256699311348]
[4.175000000000001, 1.4682828736342557]
[4.225, 1.3366072469459471]
