[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0007738723116488558]
[3.125, 0.0052437700576268365]
[3.1750000000000003, 0.025151272583448424]
[3.225, 0.09842310596444188]
[3.2750000000000004, 0.2587645234559429]
[3.325, 0.5522057432157453]
[3.375, 0.9692679160294395]
[3.4250000000000003, 1.4842120049210314]
[3.475, 1.9410897833929737]
[3.5250000000000004, 2.394751816725485]
[3.575, 2.737532595228843]
[3.625, 2.93957009813798]
[3.6750000000000003, 3.028538133974207]
[3.725, 2.9973702644957525]
[3.7750000000000004, 3.0087546468059916]
[3.825, 2.8285614020242513]
[3.875, 2.678994274919184]
[3.9250000000000003, 2.499042807739593]
[3.975, 2.3009869945354247]
[4.025, 2.1376373779980082]
[4.075, 1.9618530035443846]
[4.125, 1.80309144991835]
[4.175000000000001, 1.6807645003463672]
[4.225, 1.5411351585823239]
