[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.001031829748865141]
[3.125, 0.0052437700576268365]
[3.1750000000000003, 0.037243230556260214]
[3.225, 0.13076212649561564]
[3.2750000000000004, 0.3330542505587465]
[3.325, 0.7139451747881139]
[3.375, 1.1976328254314752]
[3.4250000000000003, 1.8067945861304437]
[3.475, 2.4642646886593598]
[3.5250000000000004, 2.991236011566308]
[3.575, 3.367791542867954]
[3.625, 3.649836594513469]
[3.6750000000000003, 3.734068279732322]
[3.725, 3.7509196660786297]
[3.7750000000000004, 3.6423473194234286]
[3.825, 3.4161762964228015]
[3.875, 3.2224668263395198]
[3.9250000000000003, 2.9608293164677346]
[3.975, 2.820981448684506]
[4.025, 2.5775230462550893]
[4.075, 2.305799044657944]
[4.125, 2.155544366540028]
[4.175000000000001, 1.9864593783833324]
[4.225, 1.813068178443396]
