[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0]
[3.125, 0.0]
[3.1750000000000003, 0.0007255174783687053]
[3.225, 0.00820192549703685]
[3.2750000000000004, 0.03794001353568255]
[3.325, 0.1760624057579331]
[3.375, 0.4383408841518528]
[3.4250000000000003, 0.910039920220112]
[3.475, 1.5473477448630104]
[3.5250000000000004, 2.317375377657462]
[3.575, 3.0244813064349274]
[3.625, 3.530409615847621]
[3.6750000000000003, 3.9565165130770423]
[3.725, 4.109552388953391]
[3.7750000000000004, 4.02663245239797]
[3.825, 3.892283952659189]
[3.875, 3.637234975502136]
[3.9250000000000003, 3.423720200174048]
[3.975, 3.017536583970669]
[4.025, 2.7711447297599965]
[4.075, 2.4809174671219725]
[4.125, 2.2085050923669365]
[4.175000000000001, 1.9390864255426]
[4.225, 1.771849716703574]
[4.275, 1.6169483020436481]
