[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0005159148744325705]
[3.125, 0.004744363385471901]
[3.1750000000000003, 0.031197251569854326]
[3.225, 0.0998291503353625]
[3.2750000000000004, 0.2762578231101196]
[3.325, 0.5931914847313594]
[3.375, 1.0128881796230862]
[3.4250000000000003, 1.5566581573290668]
[3.475, 2.1078202830674635]
[3.5250000000000004, 2.56595943127093]
[3.575, 2.938225323570724]
[3.625, 3.1512058138202454]
[3.6750000000000003, 3.2861097725838837]
[3.725, 3.356002987370506]
[3.7750000000000004, 3.2377558228503203]
[3.825, 3.0944504945122855]
[3.875, 2.937698218073696]
[3.9250000000000003, 2.7820783378585823]
[3.975, 2.570289061738929]
[4.025, 2.3620045650803805]
[4.075, 2.190077514023821]
[4.125, 2.0297804866114335]
[4.175000000000001, 1.8603637244984395]
[4.225, 1.7304952204365567]
