[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.00025795743721628527]
[3.125, 0.003246143369007091]
[3.1750000000000003, 0.025634950902360884]
[3.225, 0.08834645463951092]
[3.2750000000000004, 0.2578557806167649]
[3.325, 0.5330349931519905]
[3.375, 0.9314209226173035]
[3.4250000000000003, 1.415502330287623]
[3.475, 1.9872582047055007]
[3.5250000000000004, 2.3955353756021234]
[3.575, 2.7558120088159606]
[3.625, 2.9990058503112107]
[3.6750000000000003, 3.0643820193471596]
[3.725, 3.1016647269153403]
[3.7750000000000004, 3.066602186805268]
[3.825, 2.8617975385852557]
[3.875, 2.728209543203898]
[3.9250000000000003, 2.573824770546951]
[3.975, 2.3914208126483105]
[4.025, 2.159084241469121]
[4.075, 2.0139350072178965]
[4.125, 1.8853161886684862]
[4.175000000000001, 1.713646902906406]
[4.225, 1.613641561576797]
