[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0005159148744325705]
[3.125, 0.0037455500411620276]
[3.1750000000000003, 0.015719545364655283]
[3.225, 0.06772447053267548]
[3.2750000000000004, 0.20128653887793246]
[3.325, 0.4702342601845176]
[3.375, 0.8884421334882674]
[3.4250000000000003, 1.4229752858368776]
[3.475, 1.955605618914815]
[3.5250000000000004, 2.484469308100557]
[3.575, 2.9340362912903464]
[3.625, 3.1630559326336014]
[3.6750000000000003, 3.338704820467818]
[3.725, 3.329184411319756]
[3.7750000000000004, 3.269495181080013]
[3.825, 3.114059815083275]
[3.875, 2.9545350203816243]
[3.9250000000000003, 2.801799319611579]
[3.975, 2.5682896746037795]
[4.025, 2.3702533587231143]
[4.075, 2.1723754846853502]
[4.125, 1.982958065934274]
[4.175000000000001, 1.814802090442794]
[4.225, 1.6552681268982015]
