[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.00035497767155391613]
[2.6750000000000003, 0.004783921229741961]
[2.725, 0.01777517822003329]
[2.7750000000000004, 0.06536564711393349]
[2.825, 0.15181453234865197]
[2.875, 0.32527098981035674]
[2.9250000000000003, 0.5381377082761816]
[2.975, 0.8625225232698257]
[3.0250000000000004, 1.1840934971275061]
[3.075, 1.4419820740390346]
[3.125, 1.7961160964052334]
[3.1750000000000003, 2.017905946502827]
[3.225, 2.20209982559015]
[3.2750000000000004, 2.344556525079299]
[3.325, 2.408242844215834]
[3.375, 2.4594130973242034]
[3.4250000000000003, 2.4750013614927933]
[3.475, 2.4209187909205254]
[3.5250000000000004, 2.3585122186809686]
[3.575, 2.342049865849259]
[3.625, 2.2478194124083575]
[3.6750000000000003, 2.17170716553628]
[3.725, 2.0748463053120587]
[3.7750000000000004, 2.032172135254797]
[3.825, 1.9281944625866503]
[3.875, 1.8853980738281857]
[3.9250000000000003, 1.8042331786180539]
[3.975, 1.695634089616544]
[4.025, 1.6787044953295254]
[4.075, 1.6038623771705518]
[4.125, 1.56055702086196]
