[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0007738723116488558]
[3.125, 0.0037455500411620276]
[3.1750000000000003, 0.028053342496923244]
[3.225, 0.09443931358016684]
[3.2750000000000004, 0.2687606946869009]
[3.325, 0.564104829462214]
[3.375, 0.9940715953277875]
[3.4250000000000003, 1.5155569018081754]
[3.475, 2.0096367844683374]
[3.5250000000000004, 2.4351050988723535]
[3.575, 2.8142680501830917]
[3.625, 3.0451102188194246]
[3.6750000000000003, 3.1526408325770494]
[3.725, 3.1861520057157495]
[3.7750000000000004, 3.07752325630366]
[3.825, 2.9488762163750857]
[3.875, 2.7777485961483803]
[3.9250000000000003, 2.5684606635101352]
[3.975, 2.3946505918666263]
[4.025, 2.221175160888972]
[4.075, 2.0013533995889023]
[4.125, 1.8731823296515397]
[4.175000000000001, 1.731620758543036]
[4.225, 1.6091524221793911]
