[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0]
[3.125, 0.000499406672154937]
[3.1750000000000003, 0.004836783189124704]
[3.225, 0.03022995397479291]
[3.2750000000000004, 0.1194996833519103]
[3.325, 0.3270045183288772]
[3.375, 0.6985656919629769]
[3.4250000000000003, 1.201692768739559]
[3.475, 1.8035925635888597]
[3.5250000000000004, 2.4423530184812554]
[3.575, 2.892907610719332]
[3.625, 3.2280464280005985]
[3.6750000000000003, 3.4067901906737306]
[3.725, 3.5186672917829096]
[3.7750000000000004, 3.4421845925232817]
[3.825, 3.3184620549334496]
[3.875, 3.1463774312940753]
[3.9250000000000003, 2.887940567908664]
[3.975, 2.65257153230082]
[4.025, 2.4188462521821315]
[4.075, 2.226944550332037]
[4.125, 2.01536260707365]
[4.175000000000001, 1.8249733420821286]
[4.225, 1.6736327880694088]
[4.275, 1.514917548944517]
