 ---New_Simulation---
        Label               Simulation step                 <E_i>                   E_i
   2.0000000000000000        20000.000000000000       -4.8428488609846250       -4.5474896443241377     
   1.0000000000000000        40000.000000000000       -4.6762080157035211       -5.1789527421718349     
   1.0000000000000000        60000.000000000000       -4.9249511480656984       -5.8148045397014947     
   2.0000000000000000        80000.000000000000       -5.6683015697747914       -7.4211450774853889     
   1.0000000000000000        100000.00000000000       -5.2152623588737486       -6.3640767913257381     
   2.0000000000000000        120000.00000000000       -5.8685388267860930       -5.4830848491187894     
   1.0000000000000000        140000.00000000000       -5.3631655460340131       -5.8805723020164127     
   2.0000000000000000        160000.00000000000       -5.9899229017815925       -7.1810031592966830     
   2.0000000000000000        180000.00000000000       -6.0346522972570993       -6.0746040486889701     
   2.0000000000000000        200000.00000000000       -6.0697038540596999       -6.3588818002933838     
   2.0000000000000000        220000.00000000000       -6.1012659477883195       -6.1478742324038063     
   2.0000000000000000        240000.00000000000       -6.1279449479147026       -6.6608113898241985     
   1.0000000000000000        260000.00000000000       -5.5679829583045164       -6.5429984400538590     
   2.0000000000000000        280000.00000000000       -6.1690872427242658       -5.9590413458742617     
   1.0000000000000000        300000.00000000000       -5.6065987435425351       -5.0807106899571508     
   1.0000000000000000        320000.00000000000       -5.6204664254382504       -6.1295885988740721     
   1.0000000000000000        340000.00000000000       -5.6346844617953433       -5.1674494397402810     
   1.0000000000000000        360000.00000000000       -5.6472742691058597       -6.1973779230364991     
   2.0000000000000000        380000.00000000000       -6.2435971448659533       -5.9502974348130913     
   2.0000000000000000        400000.00000000000       -6.2561391208458188       -5.5437555661487767     
   2.0000000000000000        420000.00000000000       -6.2658119431065797       -6.8652573878225480     
   2.0000000000000000        440000.00000000000       -6.2770055890217513       -5.9784908533360008     
   1.0000000000000000        460000.00000000000       -5.6888844453283545       -5.7416009185869621     
   1.0000000000000000        480000.00000000000       -5.6936024794641469       -5.6833625542843924     
   2.0000000000000000        500000.00000000000       -6.3055682270501761       -6.9513347666714145     
   1.0000000000000000        520000.00000000000       -5.7039695742318433       -5.8361224561539515     
   2.0000000000000000        540000.00000000000       -6.3211214849668886       -7.3729036443670548     
   1.0000000000000000        560000.00000000000       -5.7133110914622707       -6.1559491761441709     
   2.0000000000000000        580000.00000000000       -6.3358428041232662       -5.6633693993230168     
   2.0000000000000000        600000.00000000000       -6.3428827998696677       -5.7613709505595523     
   1.0000000000000000        620000.00000000000       -5.7248383413024611       -5.5492877960172216     
   1.0000000000000000        640000.00000000000       -5.7280942017395615       -5.2326249376327283     
   2.0000000000000000        660000.00000000000       -6.3623962150826596       -7.2765241738466280     
   1.0000000000000000        680000.00000000000       -5.7335954216796026       -5.1627387315134783     
   2.0000000000000000        700000.00000000000       -6.3751950166376510       -6.9417660512564492     
   1.0000000000000000        720000.00000000000       -5.7382805328959572       -6.2357327791906147     
   2.0000000000000000        740000.00000000000       -6.3857113788946727       -7.1758729891024480     
   2.0000000000000000        760000.00000000000       -6.3908208996618123       -5.6634364740555698     
   2.0000000000000000        780000.00000000000       -6.3950587289038481       -7.2878606408855200     
   2.0000000000000000        800000.00000000000       -6.3993390617807426       -6.1783563833287509     
   1.0000000000000000        820000.00000000000       -5.7504316028101217       -6.1086955826828309     
   2.0000000000000000        840000.00000000000       -6.4071638888594435       -7.2646064168000377     
   2.0000000000000000        860000.00000000000       -6.4106584588403477       -7.1027337906590935     
   1.0000000000000000        880000.00000000000       -5.7553053200312396       -5.8554108347341876     
   2.0000000000000000        900000.00000000000       -6.4176458638561718       -7.2029068822471274     
   2.0000000000000000        920000.00000000000       -6.4208363472411349       -6.6766476403087580     
   1.0000000000000000        940000.00000000000       -5.7594956054980848       -6.8580658429474974     
   1.0000000000000000        960000.00000000000       -5.7607268558156486       -5.8644635882610450     
   2.0000000000000000        980000.00000000000       -6.4315185768331045       -6.7387388733504840     
   2.0000000000000000        1000000.0000000000       -6.4351503843453894       -6.1185553633231500     
   1.0000000000000000        1020000.0000000000       -5.7631683378520391       -4.8945094201864965     
   2.0000000000000000        1040000.0000000000       -6.4401929289521647       -7.3654663269692833     
   2.0000000000000000        1060000.0000000000       -6.4428116622917484       -6.5994746751614635     
   2.0000000000000000        1080000.0000000000       -6.4452712874696063       -7.6601493000672241     
   2.0000000000000000        1100000.0000000000       -6.4477606142310897       -7.3266983798492049     
   2.0000000000000000        1120000.0000000000       -6.4502290069622052       -6.6978172812860803     
   1.0000000000000000        1140000.0000000000       -5.7653363713705605       -6.2446331992144772     
   1.0000000000000000        1160000.0000000000       -5.7656827109580497       -5.4965439367062450     
   1.0000000000000000        1180000.0000000000       -5.7660807051476990       -4.8565932022744196     
   1.0000000000000000        1200000.0000000000       -5.7670145733090630       -4.6646323261640701     
   1.0000000000000000        1220000.0000000000       -5.7682439003913499       -5.2775006765176773     
   2.0000000000000000        1240000.0000000000       -6.4618700797390751       -6.7422344927363929     
   1.0000000000000000        1260000.0000000000       -5.7706946583081091       -6.4761516579462519     
   1.0000000000000000        1280000.0000000000       -5.7715681878237701       -5.6149495252206991     
   2.0000000000000000        1300000.0000000000       -6.4676975736410780       -6.7028615894485855     
   1.0000000000000000        1320000.0000000000       -5.7724346475136405       -5.8319806538925816     
   2.0000000000000000        1340000.0000000000       -6.4715243626792951       -6.7678762094407361     
   1.0000000000000000        1360000.0000000000       -5.7730022360033244       -6.4051371014709542     
   2.0000000000000000        1380000.0000000000       -6.4755603714768402       -7.2692254868811093     
   1.0000000000000000        1400000.0000000000       -5.7729139471758737       -4.7196511371558501     
   2.0000000000000000        1420000.0000000000       -6.4785405989989915       -7.2781425034584499     
   2.0000000000000000        1440000.0000000000       -6.4802006472586280       -7.5112384286352052     
   1.0000000000000000        1460000.0000000000       -5.7734926014294352       -5.9833084508739001     
   2.0000000000000000        1480000.0000000000       -6.4831606402044146       -6.0784359191648587     
   1.0000000000000000        1500000.0000000000       -5.7740267703614840       -5.7894665848574158     
   1.0000000000000000        1520000.0000000000       -5.7741162430790860       -4.7005015521919038     
   1.0000000000000000        1540000.0000000000       -5.7747093804959198       -5.5880470407527110     
   1.0000000000000000        1560000.0000000000       -5.7748495005937137       -6.0175616914698766     
   1.0000000000000000        1580000.0000000000       -5.7752495546825671       -5.6265356193221905     
   2.0000000000000000        1600000.0000000000       -6.4937804151164817       -6.5071974180659460     
   2.0000000000000000        1620000.0000000000       -6.4949884458289420       -5.8956599170683495     
   2.0000000000000000        1640000.0000000000       -6.4963034783144922       -7.1822001053630080     
   2.0000000000000000        1660000.0000000000       -6.4976848367214153       -7.3970905016967432     
   2.0000000000000000        1680000.0000000000       -6.4989587133858073       -4.8873984112515645     
   2.0000000000000000        1700000.0000000000       -6.5005172326557634       -6.5312143198470380     
   1.0000000000000000        1720000.0000000000       -5.7764605679307808       -6.1844197486174215     
   1.0000000000000000        1740000.0000000000       -5.7766990777621423       -5.7506887711231700     
   1.0000000000000000        1760000.0000000000       -5.7771504318593863       -5.0664769207277596     
   2.0000000000000000        1780000.0000000000       -6.5062537448092694       -6.7504421771530589     
   2.0000000000000000        1800000.0000000000       -6.5070898200131175       -7.7514248824160887     
   1.0000000000000000        1820000.0000000000       -5.7785976589636388       -4.8578355276051308     
   2.0000000000000000        1840000.0000000000       -6.5089236804596275       -5.1551699771077377     
   1.0000000000000000        1860000.0000000000       -5.7792464191190112       -6.2349434442541645     
   2.0000000000000000        1880000.0000000000       -6.5103276188785202       -7.3439405148710257     
   2.0000000000000000        1900000.0000000000       -6.5114157444637728       -6.5762722465959103     
   2.0000000000000000        1920000.0000000000       -6.5124179699761395       -3.5465721162539463     
   2.0000000000000000        1940000.0000000000       -6.5130602138710652       -7.1864109434372576     
   1.0000000000000000        1960000.0000000000       -5.7786636188046092       -6.5749864803822691     
   2.0000000000000000        1980000.0000000000       -6.5146941778212195       -7.4550750686534499     
   1.0000000000000000        2000000.0000000000       -5.7791900657978585       -4.3310969616463462     
   1.0000000000000000        2020000.0000000000       -5.7792646056950270       -6.2733073654877325     
   2.0000000000000000        2040000.0000000000       -6.5168437957908107       -6.8399532462650310     
   1.0000000000000000        2060000.0000000000       -5.7799051656628695       -6.1054264468747643     
   2.0000000000000000        2080000.0000000000       -6.5178360797077612       -5.9835728606350562     
   1.0000000000000000        2100000.0000000000       -5.7798590028180357       -6.2420972413592608     
   2.0000000000000000        2120000.0000000000       -6.5188983434726904       -6.8875319907637413     
   2.0000000000000000        2140000.0000000000       -6.5194212738863264       -6.9709990276569460     
   2.0000000000000000        2160000.0000000000       -6.5200356069721925       -6.6740429530827035     
   2.0000000000000000        2180000.0000000000       -6.5204022581048280       -5.3586322537968556     
   2.0000000000000000        2200000.0000000000       -6.5210378381163094       -6.6195801057071479     
   1.0000000000000000        2220000.0000000000       -5.7802386562613517       -7.2662870919319751     
   2.0000000000000000        2240000.0000000000       -6.5222089838098469       -7.0674079544093074     
   2.0000000000000000        2260000.0000000000       -6.5226505890708646       -5.3126243858286220     
   2.0000000000000000        2280000.0000000000       -6.5230971385206606       -6.4320288454414509     
   1.0000000000000000        2300000.0000000000       -5.7817170464226546       -5.0562204747093391     
   2.0000000000000000        2320000.0000000000       -6.5238836932526914       -7.4273058780994017     
   2.0000000000000000        2340000.0000000000       -6.5243993272188385       -6.4432314405325899     
   2.0000000000000000        2360000.0000000000       -6.5252785100604003       -6.6610420537226638     
   2.0000000000000000        2380000.0000000000       -6.5260707249516452       -8.0043995981476730     
   1.0000000000000000        2400000.0000000000       -5.7824979872332314       -5.9874050215647623     
   2.0000000000000000        2420000.0000000000       -6.5276690087554430       -7.4588966492390467     
   2.0000000000000000        2440000.0000000000       -6.5281456485436440       -6.9387845972234254     
   1.0000000000000000        2460000.0000000000       -5.7828198018638801       -5.8291243937310186     
   1.0000000000000000        2480000.0000000000       -5.7831976826323315       -5.9808030967774313     
   2.0000000000000000        2500000.0000000000       -6.5298846067986451       -7.3759600650892896     
